time_intervals,cerealia,cyperaceae,poeceae ,trees,crops,herbaceous_plants
-3000 to -2901,0,0,0.000259202,0.114826335,0,0.000259202
-3000 to -2901,0,0.000123982,0.002045708,0.103773195,8.27E-05,8.27E-05
-3000 to -2901,0,0.024077047,0.029695024,0.776886035,0.015248796,0.035313002
-3000 to -2901,0,0.051428571,0.014857143,0.881142857,0.002285714,0.001142857
-3000 to -2901,0,0.028070175,0.154385965,0.5,0.012280702,0.066666667
-3000 to -2901,0,0.008385744,0.016771488,0.257861635,0,0.004192872
-3000 to -2901,0,0.018388201,0.066087662,0.781547153,0.017906774,0.007016627
-3000 to -2901,0,0.005910165,0.017730496,0.776595745,0.002364066,0.003546099
-3000 to -2901,0,0.004953796,0.008044824,0.962534128,0.001551545,0.001544648
-3000 to -2901,0,0.017391304,0.043478261,0.847826087,0.017391304,0.017391304
-3000 to -2901,0,0.004865342,0.006286116,0.452590677,0,0.001726057
-3000 to -2901,0.001428571,0.027142857,0.028571429,0.67,0.002857143,0.005714286
-3000 to -2901,0,0.148857319,0.156886967,0.352069179,0.032736257,0.044471896
-3000 to -2901,0,0.188670337,0.005977515,0.614877866,0.005821619,0.001416431
-3000 to -2901,0.00043554,0.009230807,0.132375397,0.683580375,0.000541712,0.00043554
-3000 to -2901,0,0.012192889,0.026712733,0.793196315,0.068441413,0.014581857
-3000 to -2901,0,0.066666667,0.054166667,0.302083333,0.004166667,0.254166667
-3000 to -2901,0.001257862,0.153459119,0.020125786,0.616352201,0.00754717,0.011320755
-3000 to -2901,0,0.118251928,0.007712082,0.814910026,0,0.002570694
-3000 to -2901,0,0.048355899,0.152804642,0.483558994,0.00483559,0.003868472
-3000 to -2901,0,0.055776892,0.016932271,0.697211155,0,0.000498008
-3000 to -2901,0,0.057057057,0.057057057,0.786786787,0.009009009,0.021021021
-3000 to -2901,0,0.001712329,0.010273973,0.876712329,0,0
-3000 to -2901,0,0.007185629,0.026946108,0.666467066,0.001796407,0.001796407
-3000 to -2901,0,0.084656085,0.095993953,0.739984883,0.006046863,0.01814059
-3000 to -2901,0,0.003105954,0.025716909,0.93461869,0.00154321,0.00154321
-3000 to -2901,0,0.013268156,0.005935754,0.956005587,0.000698324,0
-3000 to -2901,0,0.012121212,0.013333333,0.950909091,0.000606061,0
-3000 to -2901,0,0.005405405,0.008108108,0.583783784,0.005405405,0.037837838
-3000 to -2901,0,0.005825243,0,0.862135922,0,0.003883495
-3000 to -2901,0,0.000817661,0.013900245,0.859362224,0.000817661,0.003270646
-3000 to -2901,0,0.131334761,0.03283369,0.591006424,0.002141328,0.003568879
-3000 to -2901,0,0.003674043,0.01476143,0.823862434,0.000840696,0.002671964
-3000 to -2901,0,0.002469558,0.014398582,0.823329577,0.001009433,0.002466817
-3000 to -2901,0,0.001808318,0.038878843,0.945750452,0.000904159,0.001808318
-3000 to -2901,0,0.061643836,0.075342466,0.801369863,0.01369863,0
-3000 to -2901,0,0,0.006451613,0.733870968,0,0
-3000 to -2901,0,0.002645503,0.013227513,0.956349206,0.001322751,0.001322751
-3000 to -2901,0,0.002645503,0.013227513,0.956349206,0.001322751,0.001322751
-3000 to -2901,0,0.006200783,0.040507455,0.90676007,0.001653875,0.00792128
-3000 to -2901,0,0.007551359,0.004735117,0.965094915,0.002833977,0.00095057
-3000 to -2901,0,0.018338063,0.006236063,0.570847607,0.000762422,0.001132548
-3000 to -2901,0,0,0.395721925,0.449197861,0,0.042780749
-3000 to -2901,0.000729927,0.013975828,0.009536702,0.825637332,0.00074184,0.005934718
-3000 to -2901,0,0.0060015,0.0060015,0.847711928,0.001500375,0.001500375
-3000 to -2901,0,0.016363636,0.098181818,0.758181818,0.002727273,0.042727273
-3000 to -2901,0,0.204022989,0.00862069,0.527777778,0.003831418,0.003831418
